uid,gini,k_mean,k_max,top1_res,top1_k2,concentration_ratio,hotspot_fraction,n,f_alpha,f_beta
A0A5F8MPU3,0.9359,24.6,22014.8,1615,22014.8,894.9106,0.3928,2278,0.13,0.51
P48754,0.9547,26.0,21886.3,1362,21886.3,841.7808,0.4656,1808,0.1,0.43
F8VPZ9,0.9611,46.6,39110.6,1517,39110.6,839.2833,0.5332,1574,0.12,0.52
Q62230,0.9333,40.9,34065.3,1647,34065.3,832.8924,0.4925,1691,0.12,0.74
Q3UHR0,0.9357,19.4,15951.8,1478,15951.8,822.2577,0.3116,2639,0.1,0.54
P97857,0.9586,65.8,47336.1,81,47336.1,719.3936,0.7463,964,0.21,0.61
Q80WC9,0.9599,89.5,64081.8,45,64081.8,715.9978,0.6533,1096,0.29,0.55
Q8BLR5,0.9541,92.6,60745.4,827,60745.4,655.9978,0.6553,1001,0.27,0.51
Q8CIH5,0.9483,154.7,96221.6,1241,96221.6,621.9884,0.4933,1261,0.39,0.46
P53351,0.9714,235.4,128277.0,671,128277.0,544.932,0.8037,678,0.36,0.48
Q99MS7,0.9313,29.4,15973.0,1664,15973.0,543.2993,0.3173,1712,0.17,0.43
P05555,0.926,44.5,23922.0,170,23922.0,537.573,0.4679,1149,0.23,0.63
Q7TN08,0.9616,84.3,45317.0,24,45317.0,537.5682,0.7139,753,0.16,0.59
Q8VIK5,0.9425,34.8,18146.9,768,18146.9,521.4626,0.5063,1030,0.11,0.65
Q5ND28,0.967,48.8,25381.5,425,25381.5,520.1127,0.6374,816,0.13,0.58
O35674,0.9749,116.7,55783.7,720,55783.7,478.0094,0.5218,916,0.22,0.56
Q9JM52,0.9472,90.2,43073.1,355,43073.1,477.5288,0.3662,1304,0.27,0.49
Q5DTI6,0.9542,104.7,49820.9,326,49820.9,475.8443,0.4821,987,0.25,0.45
Q7TT41,0.9683,76.2,35732.8,490,35732.8,468.9344,0.7625,615,0.19,0.68
Q3V089,0.9453,55.5,24696.0,580,24696.0,444.973,0.441,1009,0.18,0.5
Q8CHP0,0.9215,22.1,9783.6,12,9783.6,442.6968,0.468,946,0.1,0.62
P25799,0.941,83.8,37054.0,595,37054.0,442.1718,0.4573,967,0.33,0.45
Q9CUU3,0.941,91.0,40228.2,1363,40228.2,442.0681,0.2955,1496,0.28,0.42
P55850,0.9299,32.4,13864.8,701,13864.8,427.9259,0.4797,892,0.18,0.67
Q8CBB2,0.9385,876.5,367023.9,546,367023.9,418.738,0.7451,562,0.75,0.14
P97378,0.9358,53.7,21603.8,12,21603.8,402.3054,0.4624,870,0.16,0.7
P33146,0.9494,64.0,25285.6,619,25285.6,395.0875,0.5065,780,0.19,0.62
Q8BI29,0.9456,53.5,21133.8,352,21133.8,395.0243,0.6562,602,0.1,0.64
Q3TIU4,0.9601,124.5,48851.4,89,48851.4,392.3807,0.6496,604,0.36,0.51
Q9Z0U1,0.9359,46.3,18023.6,782,18023.6,389.2786,0.3347,1163,0.24,0.53
Q99PP2,0.9253,21.3,8287.3,351,8287.3,389.0751,0.1742,2233,0.12,0.43
Q5DID3,0.9322,44.4,17258.4,1278,17258.4,388.7027,0.2956,1315,0.19,0.62
P55849,0.9309,44.5,17091.9,21,17091.9,384.0876,0.4355,882,0.2,0.67
Q80XZ4,0.9574,71.3,27230.0,238,27230.0,381.9074,0.6619,577,0.14,0.64
Q8BGC0,0.9273,31.3,11667.8,149,11667.8,372.7732,0.4951,753,0.19,0.51
Q8BG26,0.9291,70.9,26426.8,9,26426.8,372.7334,0.4193,889,0.26,0.53
Q61830,0.9237,47.5,17592.3,1407,17592.3,370.3642,0.2551,1452,0.24,0.58
A2AJA7,0.9329,29.0,10724.8,1164,10724.8,369.8207,0.3021,1224,0.14,0.68
Q8K4C2,0.9468,125.8,46467.1,477,46467.1,369.3728,0.5322,694,0.33,0.55
A2A7S8,0.9451,38.8,14263.9,74,14263.9,367.6263,0.3643,1009,0.1,0.58
Q03145,0.9321,52.5,19194.7,10,19194.7,365.6133,0.3758,973,0.28,0.55
Q91YK0,0.9236,133.9,48932.5,538,48932.5,365.4406,0.5358,682,0.46,0.37
P35123,0.9209,50.6,18233.7,520,18233.7,360.3498,0.3761,958,0.28,0.58
P77381,0.9365,340.9,119346.0,458,119346.0,350.0909,0.7433,471,0.68,0.22
P70211,0.9209,30.6,10602.8,1117,10602.8,346.4967,0.2401,1443,0.1,0.71
Q8C0R7,0.9336,84.9,29365.6,241,29365.6,345.8846,0.4725,732,0.34,0.52
A2A6A1,0.9324,24.2,8349.9,1092,8349.9,345.0372,0.2299,1501,0.13,0.46
P70407,0.9491,66.4,22589.6,629,22589.6,340.2048,0.435,782,0.21,0.63
Q68FD9,0.9208,20.6,6975.0,1300,6975.0,338.5922,0.1749,1936,0.13,0.48
A2RTF1,0.9377,44.9,15110.6,1073,15110.6,336.539,0.3046,1105,0.23,0.62
Q5SW75,0.9311,29.0,9726.5,438,9726.5,335.3966,0.2364,1419,0.18,0.47
Q8R493,0.9436,285.4,95088.0,29,95088.0,333.1745,0.6786,491,0.45,0.43
Q8C1B2,0.9388,44.3,14366.3,372,14366.3,324.2957,0.4966,653,0.27,0.56
Q91Y11,0.9478,40.6,13083.5,746,13083.5,322.2537,0.3305,975,0.15,0.68
Q99P47,0.9604,67.6,21590.2,1249,21590.2,319.3817,0.2445,1306,0.17,0.63
A1EGX6,0.9399,15.5,4939.2,75,4939.2,318.6581,0.2978,1070,0.03,0.55
O88895,0.9544,128.2,40583.6,152,40583.6,316.5647,0.7466,424,0.43,0.4
Q52KI8,0.9222,39.3,12390.3,581,12390.3,315.2748,0.3347,942,0.19,0.54
Q9JI71,0.9552,49.2,15474.9,545,15474.9,314.5305,0.4612,682,0.17,0.6
Q9QXG9,0.9882,1073.6,337140.7,68,337140.7,314.0282,0.9318,337,0.44,0.38
Q9Z2Q2,0.9745,70.7,22013.8,431,22013.8,311.3692,0.6569,474,0.13,0.47
P00860,0.9534,156.1,48591.8,415,48591.8,311.2864,0.6812,457,0.36,0.48
Q8VIG1,0.9222,29.2,9070.0,804,9070.0,310.6164,0.2881,1078,0.2,0.48
P77650,0.9712,210.7,65382.7,163,65382.7,310.3118,0.7836,396,0.34,0.5
A4Q9F6,0.9275,74.7,22982.2,596,22982.2,307.66,0.3846,800,0.32,0.49
P49749,0.9696,108.9,33475.2,264,33475.2,307.3939,0.6526,471,0.17,0.46
Q2VPD4,0.9383,95.4,29092.1,556,29092.1,304.9486,0.5303,575,0.3,0.52
P75785,0.9411,216.9,66073.4,125,66073.4,304.6261,0.5825,523,0.52,0.37
E9Q1P8,0.9442,40.6,12292.0,7,12292.0,302.7586,0.5349,566,0.17,0.55
Q8VI16,0.97,294.7,89151.1,22,89151.1,302.5148,0.7659,395,0.38,0.48
Q8C0R9,0.931,44.8,13397.9,826,13397.9,299.0603,0.3523,849,0.33,0.43
Q3UHK8,0.9307,15.2,4528.6,44,4528.6,297.9342,0.1575,1892,0.07,0.5
P22723,0.958,194.4,57885.6,305,57885.6,297.7654,0.6335,470,0.36,0.53
Q8QZV4,0.9377,107.6,31859.5,203,31859.5,296.092,0.6118,484,0.42,0.45
E9Q9K5,0.9639,56.5,16682.0,63,16682.0,295.2566,0.4285,689,0.15,0.47
Q920G3,0.9466,70.5,20663.3,451,20663.3,293.0965,0.5188,565,0.13,0.72
Q8BJI4,0.977,251.9,73674.2,180,73674.2,292.474,0.4257,687,0.22,0.48
Q8CFF0,0.9856,373.1,108271.2,176,108271.2,290.1935,0.8874,327,0.32,0.52
Q8R0F9,0.9583,174.1,50251.2,119,50251.2,288.6341,0.7234,399,0.43,0.43
A6H694,0.9465,62.1,17828.1,283,17828.1,287.087,0.4528,634,0.23,0.55
Q62469,0.9375,54.1,15469.3,1142,15469.3,285.939,0.2436,1174,0.23,0.61
Q9JJZ5,0.9259,20.6,5870.5,278,5870.5,284.9757,0.5219,546,0.12,0.65
P50284,0.9739,195.2,54892.1,234,54892.1,281.2095,0.6842,411,0.15,0.69
P77455,0.9357,112.5,31626.7,435,31626.7,281.1262,0.4153,677,0.44,0.45
P37627,0.9251,85.9,24073.0,232,24073.0,280.2445,0.5228,536,0.43,0.39
P0ADF6,0.9201,116.0,32442.7,231,32442.7,279.6784,0.4669,599,0.5,0.36
Q9D805,0.9235,77.6,21669.4,589,21669.4,279.2448,0.4071,686,0.39,0.48
Q8BYL4,0.9317,166.1,46264.8,145,46264.8,278.5358,0.5952,468,0.53,0.34
Q52KR2,0.9407,29.4,8122.7,812,8122.7,276.2823,0.2631,1050,0.16,0.59
Q9D8Z1,0.9689,243.0,66967.4,153,66967.4,275.586,0.7829,352,0.38,0.49
Q6P4S6,0.9206,38.2,10499.1,253,10499.1,274.8455,0.2014,1365,0.2,0.47
Q8BT18,0.9373,33.4,9178.3,729,9178.3,274.7994,0.3564,771,0.13,0.53
Q9QUM0,0.9226,33.6,9192.9,663,9192.9,273.5982,0.2659,1029,0.14,0.69
P19467,0.9375,151.7,41444.1,496,41444.1,273.1978,0.4801,569,0.21,0.64
Q9CQF6,0.9806,442.1,120326.3,60,120326.3,272.1699,0.8924,305,0.38,0.5
Q0VGT2,0.9323,16.6,4493.5,255,4493.5,270.6928,0.1758,1540,0.11,0.47
P08042,0.9398,177.7,48006.3,92,48006.3,270.1536,0.6788,398,0.5,0.37
P35564,0.9653,128.0,34532.9,498,34532.9,269.7883,0.4596,587,0.27,0.56
Q8R4R6,0.9766,128.3,34513.5,318,34513.5,269.0062,0.838,321,0.21,0.53
Q8BHD4,0.9215,188.6,50375.7,544,50375.7,267.1034,0.452,591,0.45,0.41
