human_gene,disease,human_uid,mimic_uid,mimic_species,source_type,score,h_gini,m_gini,h_n,m_n,h_conc,m_conc
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,Q99798,Q9SJE1,arabidopsis,dietary,100,0.9196,0.9196,776,756,248.0,244.0
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,F4IAX0,arabidopsis,dietary,100,0.914,0.911,662,673,160.0,176.0
PRKCH,Ischemic stroke,P24723,Q93Z24,arabidopsis,dietary,100,0.9153,0.9065,679,693,125.0,96.0
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,Q39817,soybean,dietary,100,0.9298,0.9234,532,542,148.0,141.0
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,Q9LFT1,arabidopsis,dietary,100,0.9298,0.9211,532,522,148.0,198.0
CDC40,Pontocerebellar hypoplasia 15,O60508,Q5MBR6,rice,dietary,100,0.9174,0.9223,575,572,118.0,122.0
TLE6,Oocyte/zygote/embryo maturation arrest 15,Q9H808,O49505,arabidopsis,dietary,100,0.9212,0.9126,568,579,96.0,114.0
COX11,"Mitochondrial complex IV deficiency, nuclear type 23",Q9Y6N1,O65220,arabidopsis,dietary,100,0.9286,0.9216,272,277,72.0,51.0
COX11,"Mitochondrial complex IV deficiency, nuclear type 23",Q9Y6N1,O86062,pseudomonas,microbial,100,0.9286,0.9217,272,274,72.0,78.0
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,Q53M11,rice,dietary,100,0.9213,0.9272,212,202,56.0,56.0
GMPPB,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A14; Muscular dystrophy-dystroglycanopathy,Q9Y5P6,Q9FV50,arabidopsis,dietary,100,0.9135,0.9101,356,346,43.0,50.0
LFNG,"Spondylocostal dysostosis 3, autosomal recessive",Q8NES3,Q8RY82,arabidopsis,dietary,100,0.9213,0.921,375,367,52.0,65.0
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q2QXJ0,rice,dietary,100,0.9214,0.9127,229,225,52.0,57.0
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q6YZZ2,rice,dietary,100,0.9214,0.9124,229,221,52.0,50.0
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,P92996,arabidopsis,dietary,100,0.9214,0.9143,229,218,52.0,54.0
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,P92997,arabidopsis,dietary,100,0.9214,0.9209,229,218,52.0,58.0
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q9M8X6,arabidopsis,dietary,100,0.9214,0.9166,229,223,52.0,38.0
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q9S772,arabidopsis,dietary,100,0.9214,0.9258,229,223,52.0,53.0
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,Q0DHB7,rice,dietary,100,0.9288,0.9343,247,242,49.0,52.0
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,Q7XWU8,rice,dietary,100,0.9288,0.9252,247,257,49.0,67.0
LHB,Hypogonadotropic hypogonadism 23 with or without anosmia,P01229,O34541,bacillus,microbial,100,0.9252,0.9168,137,139,39.0,40.0
PPIB,Osteogenesis imperfecta 9,P23284,Q851J8,rice,dietary,100,0.926,0.9261,212,223,45.0,35.0
PPIB,Osteogenesis imperfecta 9,P23284,Q851K0,rice,dietary,100,0.926,0.925,212,223,45.0,55.0
MPEG1,Immunodeficiency 77,Q2M385,Q94F08,arabidopsis,dietary,97,0.9321,0.9249,712,692,172.0,192.0
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,Q9FMV0,arabidopsis,dietary,97,0.9298,0.9209,532,525,148.0,171.0
MOGS,Type IIb congenital disorder of glycosylation,Q13724,Q9LPZ3,arabidopsis,dietary,97,0.9264,0.9183,833,841,145.0,131.0
FBXW4,Split-hand/foot malformation 3,P57775,Q8W030,arabidopsis,dietary,97,0.9279,0.93,408,408,114.0,92.0
IL1RAPL1,"Intellectual developmental disorder, X-linked 21",Q9NZN1,Q6Z6K4,rice,dietary,97,0.9163,0.9105,692,725,116.0,113.0
NGF,"Neuropathy, hereditary sensory and autonomic, 5",P01138,P9WHQ5,tuberculosis,microbial,97,0.9331,0.9281,237,227,98.0,79.0
PLD3,Spinocerebellar ataxia 46,Q8IV08,A0A0P0XXR9,rice,dietary,97,0.9256,0.9162,486,472,96.0,112.0
THBD,"Thrombophilia due to thrombomodulin defect; Hemolytic uremic syndrome, atypical, 6",P07204,Q9SU40,arabidopsis,dietary,97,0.9276,0.9307,571,583,77.0,95.0
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,Q6YZA1,rice,dietary,97,0.9213,0.9281,212,220,56.0,63.0
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,Q6YZZ7,rice,dietary,97,0.9213,0.9217,212,221,56.0,71.0
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,Q6YZZ2,rice,dietary,97,0.9213,0.9124,212,221,56.0,50.0
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,P92996,arabidopsis,dietary,97,0.9213,0.9143,212,218,56.0,54.0
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,P92997,arabidopsis,dietary,97,0.9213,0.9209,212,218,56.0,58.0
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,P94014,arabidopsis,dietary,97,0.9213,0.9219,212,215,56.0,56.0
TBL1X,"Hypothyroidism, congenital, non-goitrous, 8",O60907,Q7G959,arabidopsis,dietary,97,0.9242,0.9212,573,549,70.0,97.0
GMPPB,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A14; Muscular dystrophy-dystroglycanopathy,Q9Y5P6,Q8H8C7,rice,dietary,97,0.9135,0.9179,356,352,43.0,55.0
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q6YZZ7,rice,dietary,97,0.9214,0.9217,229,221,52.0,71.0
PPIB,Osteogenesis imperfecta 9,P23284,P36054,yeast,dietary,97,0.926,0.9254,212,207,45.0,59.0
SOBP,"Impaired intellectual development, anterior maxillary protrusion, and strabismus",A7XYQ1,Q653U3,rice,dietary,95,0.9315,0.9261,869,913,441.0,380.0
