gene,disease,human_uid,match_uid,match_species,score,h_gini,m_gini,h_n,m_n,h_conc,m_conc,h_falpha,m_falpha
MEGF10,"Congenital myopathy 10A, severe variant; Congenital myopathy 10B, mild variant",Q96KG7,E9QJQ6,zebrafish,100,0.9533,0.9595,1136,1115,282.0,209.0,0.12,0.12
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,Q5DRA3,chimp,100,0.9236,0.9298,934,934,262.0,188.0,0.18,0.19
MN1,CEBALID syndrome,Q10571,D3YWE6,mouse,100,0.9706,0.9616,1316,1293,243.0,193.0,0.09,0.08
LRIG2,Urofacial syndrome 2,O94898,Q52KR2,mouse,100,0.9445,0.9407,1061,1050,238.0,276.0,0.16,0.16
SYK,Immunodeficiency 82 with systemic inflammation,P43405,P48025,mouse,100,0.9228,0.9157,631,625,241.0,210.0,0.39,0.4
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,D4ABX8,rat,100,0.9363,0.9329,648,632,202.0,163.0,0.16,0.18
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,Q9DDD0,chicken,100,0.9147,0.9074,1380,1359,179.0,215.0,0.17,0.15
CDH11,Elsahy-Waters syndrome; Teebi hypertelorism syndrome 2,P55287,P55288,mouse,100,0.9529,0.9546,792,792,203.0,206.0,0.19,0.2
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,A8T644,chimp,100,0.9225,0.9129,688,688,208.0,157.0,0.24,0.23
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,Q91XL2,mouse,100,0.9225,0.9165,688,683,208.0,182.0,0.24,0.26
TMEM132E,"Deafness, autosomal recessive, 99",Q6IEE7,Q76HP2,rat,100,0.9253,0.9253,1070,1093,205.0,273.0,0.14,0.15
DSC2,"Arrhythmogenic right ventricular dysplasia, familial, 11",Q02487,Q5DRC0,chimp,100,0.9222,0.9302,897,931,218.0,157.0,0.18,0.2
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,Q99798,Q9SJE1,arabidopsis,100,0.9196,0.9196,776,756,248.0,244.0,0.4,0.41
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,Q99798,P20004,cow,100,0.9196,0.9182,776,776,248.0,215.0,0.4,0.4
CDH2,"Arrhythmogenic right ventricular dysplasia, familial, 14; Agenesis of corpus callosum, cardiac, ocular, and genital synd",P19022,P09803,mouse,100,0.9158,0.9067,902,880,165.0,203.0,0.19,0.18
CDH2,"Arrhythmogenic right ventricular dysplasia, familial, 14; Agenesis of corpus callosum, cardiac, ocular, and genital synd",P19022,P15116,mouse,100,0.9158,0.9165,902,902,165.0,121.0,0.19,0.19
CDH2,"Arrhythmogenic right ventricular dysplasia, familial, 14; Agenesis of corpus callosum, cardiac, ocular, and genital synd",P19022,P39038,mouse,100,0.9158,0.918,902,909,165.0,180.0,0.19,0.18
MPEG1,Immunodeficiency 77,Q2M385,A0A286YEC0,mouse,100,0.9321,0.9308,712,695,172.0,126.0,0.33,0.31
GRIN2A,"Epilepsy, focal, with speech disorder and with or without impaired intellectual development",Q12879,P35436,mouse,100,0.913,0.9052,1460,1460,167.0,120.0,0.28,0.28
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,F4IAX0,arabidopsis,100,0.914,0.911,662,673,160.0,176.0,0.22,0.22
SMAD7,Colorectal cancer 3,O15105,O88406,rat,100,0.9558,0.952,422,422,189.0,162.0,0.26,0.26
UNC5C,Alzheimer disease,O95185,Q7T2Z5,chicken,100,0.9244,0.9272,927,927,133.0,148.0,0.21,0.2
JAG1,"Alagille syndrome 1; Tetralogy of Fallot; Deafness, congenital heart defects, and posterior embryotoxon; Charcot-Marie-T",P78504,Q90Y54,zebrafish,100,0.933,0.9373,1214,1209,163.0,153.0,0.16,0.17
PRKCH,Ischemic stroke,P24723,Q93Z24,arabidopsis,100,0.9153,0.9065,679,693,125.0,96.0,0.31,0.31
TRDN,"Cardiac arrhythmia syndrome, with or without skeletal muscle weakness",Q13061,P82179,dog,100,0.9386,0.9326,725,697,143.0,119.0,0.16,0.15
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,Q9LFT1,arabidopsis,100,0.9298,0.9211,532,522,148.0,198.0,0.33,0.31
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,Q9BDT0,chimp,100,0.9298,0.9314,532,532,148.0,184.0,0.33,0.34
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,Q2KHZ8,cow,100,0.9298,0.9226,532,532,148.0,126.0,0.33,0.34
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,Q39817,soybean,100,0.9298,0.9234,532,542,148.0,141.0,0.33,0.34
SLITRK1,Trichotillomania,Q96PX8,Q810C1,mouse,100,0.9315,0.9301,692,692,109.0,116.0,0.26,0.26
SLITRK1,Trichotillomania,Q96PX8,Q810L3,mouse,100,0.9315,0.9219,692,660,109.0,92.0,0.26,0.26
LDLR,"Hypercholesterolemia, familial, 1",P01130,P35951,mouse,100,0.9432,0.9373,856,858,149.0,137.0,0.21,0.22
IL1RAPL1,"Intellectual developmental disorder, X-linked 21",Q9NZN1,B6ZK77,zebrafish,100,0.9163,0.9158,692,696,116.0,131.0,0.26,0.25
SYN1,"Epilepsy, X-linked 1, with variable learning disabilities and behavior disorders; Intellectual developmental disorder, X",P17600,P17599,cow,100,0.9187,0.9196,701,702,108.0,101.0,0.19,0.19
SYN1,"Epilepsy, X-linked 1, with variable learning disabilities and behavior disorders; Intellectual developmental disorder, X",P17600,Q08048,mouse,100,0.9187,0.918,701,724,108.0,105.0,0.19,0.21
CDC40,Pontocerebellar hypoplasia 15,O60508,Q5MBR6,rice,100,0.9174,0.9223,575,572,118.0,122.0,0.22,0.24
TLR3,"Immunodeficiency 83, susceptibility to viral infections",O15455,Q99MB1,mouse,100,0.9204,0.9288,900,901,86.0,74.0,0.33,0.34
RNF220,"Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy",Q5VTB9,Q08DV5,cow,100,0.927,0.9284,562,562,88.0,108.0,0.22,0.22
NECTIN1,"Ectodermal dysplasia, Margarita Island type; Non-syndromic orofacial cleft 7",Q15223,Q9JKF6,mouse,100,0.9191,0.9227,513,511,85.0,80.0,0.13,0.13
GRHPR,Hyperoxaluria primary 2,Q9UBQ7,P67827,cow,100,0.9156,0.917,324,321,89.0,78.0,0.45,0.44
DBH,Orthostatic hypotension 1,P09172,Q64237,mouse,100,0.9282,0.9358,613,618,106.0,101.0,0.22,0.23
DBH,Orthostatic hypotension 1,P09172,Q05754,rat,100,0.9282,0.9271,613,616,106.0,114.0,0.22,0.21
CD40,Immunodeficiency with hyper-IgM 3,P25942,Q28203,cow,100,0.9341,0.9388,273,276,107.0,88.0,0.19,0.2
TMPRSS3,"Deafness, autosomal recessive, 8",P57727,Q8K1T0,mouse,100,0.9418,0.9357,450,449,73.0,87.0,0.28,0.28
TLE6,Oocyte/zygote/embryo maturation arrest 15,Q9H808,O49505,arabidopsis,100,0.9212,0.9126,568,579,96.0,114.0,0.22,0.22
DLL1,Neurodevelopmental disorder with non-specific brain abnormalities and with or without seizures,O00548,Q8UWJ4,zebrafish,100,0.9245,0.9267,719,713,72.0,56.0,0.15,0.16
RAB33B,Smith-McCort dysplasia 2,Q9H082,Q9BEG9,cow,100,0.9226,0.9256,225,225,89.0,75.0,0.36,0.34
LINGO1,"Intellectual developmental disorder, autosomal recessive 64",Q96FE5,Q9ET61,rat,100,0.9385,0.9408,616,639,85.0,121.0,0.23,0.22
TBL1XR1,"Pierpont syndrome; Intellectual developmental disorder, autosomal dominant 41",Q9BZK7,Q5XIJ9,rat,100,0.9331,0.9245,510,516,101.0,125.0,0.28,0.3
THBD,"Thrombophilia due to thrombomodulin defect; Hemolytic uremic syndrome, atypical, 6",P07204,Q19052,worm,100,0.9276,0.9222,571,566,77.0,73.0,0.2,0.2
THOC6,Beaulieu-Boycott-Innes syndrome,Q86W42,P54832,dog,100,0.9181,0.9199,337,350,77.0,62.0,0.24,0.25
THOC6,Beaulieu-Boycott-Innes syndrome,Q86W42,Q62087,mouse,100,0.9181,0.9266,337,350,77.0,58.0,0.24,0.24
THOC6,Beaulieu-Boycott-Innes syndrome,Q86W42,Q8VIF2,mouse,100,0.9181,0.9201,337,331,77.0,54.0,0.24,0.23
THOC6,Beaulieu-Boycott-Innes syndrome,Q86W42,Q6AY87,rat,100,0.9181,0.9163,337,337,77.0,104.0,0.24,0.23
FKRP,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A5; Muscular dystrophy-dystroglycanopathy ,Q9H9S5,P05307,cow,100,0.9316,0.9235,491,506,100.0,112.0,0.38,0.39
COX11,"Mitochondrial complex IV deficiency, nuclear type 23",Q9Y6N1,O65220,arabidopsis,100,0.9286,0.9216,272,277,72.0,51.0,0.27,0.29
COX11,"Mitochondrial complex IV deficiency, nuclear type 23",Q9Y6N1,O86062,pseudomonas,100,0.9286,0.9217,272,274,72.0,78.0,0.27,0.3
NTRK1,Congenital insensitivity to pain with anhidrosis,P04629,P15209,mouse,100,0.9195,0.911,792,817,55.0,74.0,0.3,0.3
MAG,"Spastic paraplegia 75, autosomal recessive",P20916,P07722,rat,100,0.9239,0.9225,622,622,70.0,95.0,0.14,0.14
CSF2RA,Pulmonary surfactant metabolism dysfunction 4,P15509,Q8R464,mouse,100,0.9137,0.9126,396,384,66.0,49.0,0.18,0.16
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,Q53M11,rice,100,0.9213,0.9272,212,202,56.0,56.0,0.25,0.25
GMPPB,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A14; Muscular dystrophy-dystroglycanopathy,Q9Y5P6,Q9FV50,arabidopsis,100,0.9135,0.9101,356,346,43.0,50.0,0.3,0.28
LFNG,"Spondylocostal dysostosis 3, autosomal recessive",Q8NES3,Q8RY82,arabidopsis,100,0.9213,0.921,375,367,52.0,65.0,0.42,0.41
LFNG,"Spondylocostal dysostosis 3, autosomal recessive",Q8NES3,O88335,mouse,100,0.9213,0.9187,375,368,52.0,67.0,0.42,0.43
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,P92996,arabidopsis,100,0.9214,0.9143,229,218,52.0,54.0,0.28,0.27
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,P92997,arabidopsis,100,0.9214,0.9209,229,218,52.0,58.0,0.28,0.26
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q9M8X6,arabidopsis,100,0.9214,0.9166,229,223,52.0,38.0,0.28,0.28
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q9S772,arabidopsis,100,0.9214,0.9258,229,223,52.0,53.0,0.28,0.3
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,A5D7C3,cow,100,0.9214,0.9218,229,230,52.0,52.0,0.28,0.26
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q2QXJ0,rice,100,0.9214,0.9127,229,225,52.0,57.0,0.28,0.28
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,Q6YZZ2,rice,100,0.9214,0.9124,229,221,52.0,50.0,0.28,0.27
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,Q0DHB7,rice,100,0.9288,0.9343,247,242,49.0,52.0,0.19,0.21
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,Q7XWU8,rice,100,0.9288,0.9252,247,257,49.0,67.0,0.19,0.21
LHB,Hypogonadotropic hypogonadism 23 with or without anosmia,P01229,O34541,bacillus,100,0.9252,0.9168,137,139,39.0,40.0,0.16,0.16
LHB,Hypogonadotropic hypogonadism 23 with or without anosmia,P01229,Q2Q1P2,chimp,100,0.9252,0.9236,137,137,39.0,32.0,0.16,0.18
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,Q58DS7,cow,100,0.9267,0.9354,336,350,47.0,62.0,0.24,0.24
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,P54832,dog,100,0.9267,0.9199,336,350,47.0,62.0,0.24,0.25
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,P29387,mouse,100,0.9267,0.9179,336,336,47.0,45.0,0.24,0.23
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,P52430,mouse,100,0.9267,0.9227,336,351,47.0,36.0,0.24,0.24
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,Q62087,mouse,100,0.9267,0.9266,336,350,47.0,58.0,0.24,0.24
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,Q8VIF2,mouse,100,0.9267,0.9201,336,331,47.0,54.0,0.24,0.23
FSHB,Hypogonadotropic hypogonadism 24 with or without anosmia,P01225,Q2PUH2,chimp,100,0.9324,0.9334,125,125,47.0,42.0,0.22,0.22
FSHB,Hypogonadotropic hypogonadism 24 with or without anosmia,P01225,P01739,mouse,100,0.9324,0.9415,125,128,47.0,41.0,0.22,0.2
PPIB,Osteogenesis imperfecta 9,P23284,P24369,mouse,100,0.926,0.9265,212,212,45.0,41.0,0.32,0.31
PPIB,Osteogenesis imperfecta 9,P23284,Q851J8,rice,100,0.926,0.9261,212,223,45.0,35.0,0.32,0.31
PPIB,Osteogenesis imperfecta 9,P23284,Q851K0,rice,100,0.926,0.925,212,223,45.0,55.0,0.32,0.31
PON1,Microvascular complications of diabetes 5,P27169,Q90952,chicken,100,0.925,0.9342,351,350,40.0,49.0,0.25,0.24
PON1,Microvascular complications of diabetes 5,P27169,P52430,mouse,100,0.925,0.9227,351,351,40.0,36.0,0.25,0.24
PON1,Microvascular complications of diabetes 5,P27169,P24090,rat,100,0.925,0.9152,351,348,40.0,55.0,0.25,0.24
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,P97466,mouse,100,0.9144,0.9154,228,228,30.0,29.0,0.33,0.34
ASIP,Obesity and hypopigmentation,P42127,Q1XGV5,gorilla,100,0.9352,0.9318,128,128,35.0,43.0,0.2,0.21
NHS,Nance-Horan syndrome; Cataract 40,Q6T4R5,B7YZU2,fly,97,0.9412,0.933,1647,1689,300.0,401.0,0.1,0.09
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,P19534,cow,97,0.9236,0.9296,934,902,262.0,301.0,0.18,0.18
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,Q8BLY3,mouse,97,0.9363,0.9399,648,622,202.0,151.0,0.16,0.19
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,D3ZHH1,rat,97,0.9363,0.9459,648,682,202.0,171.0,0.16,0.17
CDH11,Elsahy-Waters syndrome; Teebi hypertelorism syndrome 2,P55287,P81265,cow,97,0.9529,0.9494,792,753,203.0,226.0,0.19,0.18
SQSTM1,"Paget disease of bone 3; Frontotemporal dementia and/or amyotrophic lateral sclerosis 3; Neurodegeneration with ataxia, ",Q13501,Q54ED3,dictyostelium,97,0.9421,0.9488,436,455,278.0,286.0,0.25,0.25
MPEG1,Immunodeficiency 77,Q2M385,Q94F08,arabidopsis,97,0.9321,0.9249,712,692,172.0,192.0,0.33,0.3
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,Q94890,fly,97,0.9249,0.9269,627,656,173.0,206.0,0.26,0.29
COMP,Multiple epiphyseal dysplasia 1; Pseudoachondroplasia; Carpal tunnel syndrome 2,P49747,Q9QZH2,rat,97,0.9195,0.9123,753,764,182.0,157.0,0.23,0.25
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,Q9FMV0,arabidopsis,97,0.9298,0.9209,532,525,148.0,171.0,0.33,0.34
ARR3,"Myopia 26, X-linked, female-limited",P36575,O88786,mouse,97,0.9065,0.9156,384,379,120.0,122.0,0.18,0.18
SMOC1,Ophthalmoacromelic syndrome,Q9H4F8,F6P6X0,zebrafish,97,0.9175,0.9186,430,449,117.0,154.0,0.34,0.36
MOGS,Type IIb congenital disorder of glycosylation,Q13724,Q9LPZ3,arabidopsis,97,0.9264,0.9183,833,841,145.0,131.0,0.39,0.36
MOGS,Type IIb congenital disorder of glycosylation,Q13724,P97675,rat,97,0.9264,0.9266,833,871,145.0,118.0,0.39,0.39
FBXW4,Split-hand/foot malformation 3,P57775,Q8W030,arabidopsis,97,0.9279,0.93,408,408,114.0,92.0,0.29,0.26
LRRC32,"Cleft palate, proliferative retinopathy, and developmental delay",Q14392,O54732,mouse,97,0.9404,0.9468,658,653,135.0,170.0,0.28,0.3
IL1RAPL1,"Intellectual developmental disorder, X-linked 21",Q9NZN1,Q6Z6K4,rice,97,0.9163,0.9105,692,725,116.0,113.0,0.26,0.29
NGF,"Neuropathy, hereditary sensory and autonomic, 5",P01138,Q9QYH9,mouse,97,0.9331,0.9232,237,235,98.0,105.0,0.27,0.27
NGF,"Neuropathy, hereditary sensory and autonomic, 5",P01138,P9WHQ5,tuberculosis,97,0.9331,0.9281,237,227,98.0,79.0,0.27,0.3
NECTIN1,"Ectodermal dysplasia, Margarita Island type; Non-syndromic orofacial cleft 7",Q15223,Q60846,mouse,97,0.9191,0.9205,513,494,85.0,82.0,0.13,0.15
GRHPR,Hyperoxaluria primary 2,Q9UBQ7,Q8BK63,mouse,97,0.9156,0.9077,324,333,89.0,75.0,0.45,0.42
PLD3,Spinocerebellar ataxia 46,Q8IV08,A0A0P0XXR9,rice,97,0.9256,0.9162,486,472,96.0,112.0,0.39,0.39
RUNX2,Cleidocranial dysplasia 1; Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly,Q13950,Q2KID6,cow,97,0.9366,0.927,517,509,91.0,84.0,0.16,0.18
RAB33B,Smith-McCort dysplasia 2,Q9H082,Q9P769,fission_yeast,97,0.9226,0.9143,225,217,89.0,107.0,0.36,0.36
RAB33B,Smith-McCort dysplasia 2,Q9H082,Q9JIK9,mouse,97,0.9226,0.9267,225,214,89.0,101.0,0.36,0.36
THBD,"Thrombophilia due to thrombomodulin defect; Hemolytic uremic syndrome, atypical, 6",P07204,Q9SU40,arabidopsis,97,0.9276,0.9307,571,583,77.0,95.0,0.2,0.21
THBD,"Thrombophilia due to thrombomodulin defect; Hemolytic uremic syndrome, atypical, 6",P07204,Q8R2Q6,mouse,97,0.9276,0.9256,571,591,77.0,99.0,0.2,0.22
THOC6,Beaulieu-Boycott-Innes syndrome,Q86W42,P24090,rat,97,0.9181,0.9152,337,348,77.0,55.0,0.24,0.24
