label,pdb_id,chain,n_residues,n_valid,gini,kappa2_mean,kappa2_median,kappa2_max,kappa2_std,alpha,beta,loop,frac_alpha,frac_beta,kappa2_alpha,kappa2_beta,kappa2_loop,ligand,ligand_atoms,top1_res,top1_kappa2
AF-A0A087WPF7-F1-model_v6,AF,A,1261,1257,0.8238,4.4,0.8,358.0,17.4,88,568,601,0.07,0.45,34.4,1.9,2.4,NONE,0,502,358.0
AF-A0A087WRI3-F1-model_v6,AF,A,283,279,0.9319,206.2,5.7,25201.4,1654.3,120,130,29,0.43,0.47,456.6,18.1,12.4,NONE,0,206,25201.4
AF-A0A087WRU1-F1-model_v6,AF,A,652,648,0.8968,30.8,2.0,2077.8,133.2,62,388,198,0.1,0.6,247.7,9.4,5.0,NONE,0,33,2077.8
AF-A0A088MLT8-F1-model_v6,AF,A,559,555,0.8128,54.7,3.0,1452.1,135.0,194,235,126,0.35,0.42,138.3,13.9,2.2,NONE,0,503,1452.1
AF-A0A0A6YXX9-F1-model_v6,AF,A,775,771,0.8702,20.2,1.7,2013.5,96.0,149,515,107,0.19,0.67,65.8,11.1,0.6,NONE,0,8,2013.5
AF-A0A0A6YY25-F1-model_v6,AF,A,723,719,0.8661,16.5,1.5,1082.4,66.6,86,403,230,0.12,0.56,85.1,10.1,2.1,NONE,0,5,1082.4
AF-A0A0B4J1F4-F1-model_v6,AF,A,415,411,0.8644,22.0,2.6,2692.5,144.4,46,313,52,0.11,0.76,7.1,27.2,3.7,NONE,0,392,2692.5
AF-A0A0B4J1G0-F1-model_v6,AF,A,249,245,0.8227,30.8,3.0,562.4,77.4,44,172,29,0.18,0.7,99.0,18.2,2.2,NONE,0,206,562.4
AF-A0A0B4J1L0-F1-model_v6,AF,A,234,230,0.7305,11.3,2.6,192.1,23.3,24,175,31,0.1,0.76,1.1,14.3,2.2,NONE,0,88,192.1
AF-A0A0B4J1N3-F1-model_v6,AF,A,78,74,0.8405,125.8,5.9,1693.9,296.3,28,34,12,0.38,0.46,305.6,21.7,1.1,NONE,0,5,1693.9
AF-A0A0G2JDV3-F1-model_v6,AF,A,611,607,0.745,133.2,26.7,5120.3,314.7,402,153,52,0.66,0.25,197.4,9.4,1.1,NONE,0,489,5120.3
AF-A0A0M3U1B0-F1-model_v6,AF,A,842,838,0.8613,57.8,3.1,5422.0,254.0,348,368,122,0.42,0.44,130.8,7.5,1.5,NONE,0,816,5422.0
AF-A0A0U1RPR8-F1-model_v6,AF,A,1117,1113,0.8471,41.1,2.7,3266.2,152.5,492,456,165,0.44,0.41,87.2,5.8,1.2,NONE,0,909,3266.2
AF-A0A0U1RQ45-F1-model_v6,AF,A,177,173,0.8585,121.6,2.5,1883.8,300.1,51,80,42,0.29,0.46,400.3,5.5,4.2,NONE,0,37,1883.8
AF-A0A140LHF2-F1-model_v6,AF,A,776,772,0.8899,28.3,2.5,3843.5,184.7,86,582,104,0.11,0.75,142.2,16.4,1.0,NONE,0,732,3843.5
AF-A0A140LHV9-F1-model_v6,AF,A,49,45,0.6484,562.0,197.1,2981.4,736.0,39,4,2,0.87,0.09,647.3,9.3,3.2,NONE,0,23,2981.4
AF-A0A140LI67-F1-model_v6,AF,A,1392,1388,0.9216,56.5,1.4,8764.0,347.8,337,614,437,0.24,0.44,215.4,6.7,3.9,NONE,0,635,8764.0
